Node,X,Y,Z,Best_Strain,Best_Angle,Local_Std,Quality
2.554000e+03,2.200000e+01,0.000000e+00,-1.400000e+01,4.380301e-10,,1.056438e-10,1.266998e-09
1.813000e+03,1.200000e+01,1.000000e+01,-1.200000e+01,3.565564e-10,,1.246052e-10,1.209693e-09
3.361000e+03,1.200000e+01,1.000000e+01,0.000000e+00,3.907586e-10,,1.122436e-10,1.072011e-09
2.862000e+03,0.000000e+00,1.000000e+01,-1.000000e+01,2.594587e-11,,1.225372e-10,9.397301e-10
2.597000e+03,1.200000e+01,0.000000e+00,-1.000000e+01,2.705583e-10,,1.175851e-10,8.527491e-10
3.101000e+03,4.200000e+01,1.000000e+01,-2.000000e+01,2.798522e-10,,6.409428e-11,8.284628e-10
2.353000e+03,6.600000e+01,0.000000e+00,-8.000000e+00,2.503146e-10,,3.926270e-11,7.892869e-10
1.062000e+03,4.000000e+01,6.000000e+00,-1.000000e+01,2.168347e-10,,7.132674e-11,7.879426e-10
3.106000e+03,3.200000e+01,1.000000e+01,-2.000000e+01,1.895821e-10,,9.116947e-11,7.752161e-10
3.352000e+03,3.000000e+01,1.000000e+01,0.000000e+00,3.028343e-10,,7.953303e-11,7.609298e-10
